(1151885630, 396618070) 	(1, set(["'retweet'"]))
(1151885630, 503812374) 	(1, set(["'retweet'"]))
(1151885630, 535064618) 	(1, set(["'retweet'"]))
(1151885630, 545603530) 	(1, set(["'retweet'"]))
(1151885630, 628140857) 	(1, set(["'retweet'"]))
(1151885630, 719837532) 	(1, set(["'retweet'"]))
(1151885630, 775685359) 	(1, set(["'retweet'"]))
(1151885630, 852770294) 	(1, set(["'retweet'"]))
(1151885630, 985975068) 	(1, set(["'tfbjp'"]))
(115988892, 620138462) 	(1, set(["'21reasonswhywelovezayn'"]))
(1174644019, 1021434272) 	(1, set(["'happykyungsooday'"]))
(1174644019, 1241823506) 	(1, set(["'happykyungsooday'"]))
(1174644019, 1279157114) 	(1, set(["'happykyungsooday'"]))
(1174644019, 1399731380) 	(1, set(["'happykyungsooday'"]))
(1174644019, 1539041437) 	(1, set(["'happykyungsooday'"]))
(1174644019, 1606223048) 	(1, set(["'happykyungsooday'"]))
(1174644019, 1961555942) 	(1, set(["'happykyungsooday'"]))
(1174644019, 220696698) 	(1, set(["'happykyungsooday'"]))
(1174644019, 2261039574) 	(1, set(["'happykyungsooday'"]))
(1174644019, 229791173) 	(1, set(["'happykyungsooday'"]))
(1174644019, 307196927) 	(1, set(["'happykyungsooday'"]))
(1174644019, 377203386) 	(1, set(["'happykyungsooday'"]))
(1174644019, 379480947) 	(1, set(["'happykyungsooday'"]))
(1174644019, 385779348) 	(1, set(["'happykyungsooday'"]))
(1174644019, 389247057) 	(1, set(["'happykyungsooday'"]))
(1174644019, 450431691) 	(1, set(["'happykyungsooday'"]))
(1176542268, 1001668418) 	(3, set([" 'android'", " 'androidgames'", "'gameinsight'"]))
(1176542268, 1220748181) 	(3, set([" 'android'", " 'androidgames'", "'gameinsight'"]))
(1176542268, 1234926085) 	(1, set(["'gameinsight'"]))
(1176542268, 1242646303) 	(1, set(["'gameinsight'"]))
(1176542268, 1261218080) 	(3, set([" 'android'", " 'androidgames'", "'gameinsight'"]))
(1176542268, 1282114200) 	(1, set(["'gameinsight'"]))
(1176542268, 1335524202) 	(1, set(["'gameinsight'"]))
(1176542268, 1407402936) 	(3, set([" 'android'", " 'androidgames'", "'gameinsight'"]))
(1176542268, 1459905258) 	(3, set([" 'android'", " 'androidgames'", "'gameinsight'"]))
(1176542268, 150164143) 	(1, set(["'gameinsight'"]))
(1176542268, 1614711692) 	(1, set(["'gameinsight'"]))
(1176542268, 1658571368) 	(1, set(["'android'"]))
(1176542268, 173769451) 	(3, set([" 'android'", " 'androidgames'", "'gameinsight'"]))
(1176542268, 175439030) 	(1, set(["'gameinsight'"]))
(1176542268, 1831597285) 	(1, set(["'gameinsight'"]))
(1176542268, 184363448) 	(1, set(["'gameinsight'"]))
(1176542268, 20146536) 	(1, set(["'gameinsight'"]))
(1176542268, 2164881367) 	(3, set([" 'android'", " 'androidgames'", "'gameinsight'"]))
(1176542268, 2201792924) 	(3, set([" 'android'", " 'androidgames'", "'gameinsight'"]))
(1176542268, 22663195) 	(1, set(["'gameinsight'"]))
(1176542268, 254319787) 	(1, set(["'gameinsight'"]))
(1176542268, 259983969) 	(3, set([" 'android'", " 'androidgames'", "'gameinsight'"]))
(1176542268, 26829635) 	(1, set(["'gameinsight'"]))
(1176542268, 280935112) 	(3, set([" 'android'", " 'androidgames'", "'gameinsight'"]))
(1176542268, 328163581) 	(1, set(["'gameinsight'"]))
(1176542268, 334323818) 	(1, set(["'gameinsight'"]))
(1176542268, 417388167) 	(3, set([" 'android'", " 'androidgames'", "'gameinsight'"]))
(1176542268, 53450179) 	(1, set(["'gameinsight'"]))
(1176542268, 550199697) 	(1, set(["'gameinsight'"]))
(1176542268, 556827415) 	(1, set(["'gameinsight'"]))
(1176542268, 602380138) 	(3, set([" 'android'", " 'androidgames'", "'gameinsight'"]))
(1176542268, 74229904) 	(1, set(["'gameinsight'"]))
(1176542268, 848626898) 	(3, set([" 'android'", " 'androidgames'", "'gameinsight'"]))
(1176542268, 85240499) 	(3, set([" 'android'", " 'androidgames'", "'gameinsight'"]))
(1176542268, 94967912) 	(1, set(["'gameinsight'"]))
(1176542268, 951244134) 	(3, set([" 'android'", " 'androidgames'", "'gameinsight'"]))
(120957662, 1555292454) 	(1, set(["'np'"]))
(120957662, 2273112546) 	(1, set(["'np'"]))
